Family,Genus,Species,IT,Length,Width,Ratio
Apidae,Apis,mellifera,3.417,9.308,2.666,0.144
Apidae,Apis,mellifera,3.271,9.339,2.64,0.143
Halictidae,Agapostemon,taxanus,1.774,6.575,1.908,0.163
Halictidae,Agapostemon,taxanus,2.191,7.220,2.293,0.143
Halictidae,Halictus,tripartitus,1.372,4.628,1.475,0.143
Halictidae,Halictus,tripartitus,1.168,4.284,1.359,0.145
Apidae,Xylocopa,varipuncta,7.249,20.012,5.35,0.173
Apidae,Xylocopa,varipuncta,6.368,18.522,4.81,0.157
Colletidae,Colletes,slevini,2.321,6.302,1.948,0.158
Colletidae,Colletes,slevini,2.382,6.999,2.159,0.148
Halictidae,Lasioglossum,incompletum,1.058,3.418,1.108,0.172
Halictidae,Lasioglossum,incompletum,0.959,3.219,1.066,0.135
Halictidae,Augochlorella,pomoniella,1.429,5.376,1.746,0.169
Halictidae,Augochlorella,pomoniella,1.564,5.415,1.717,0.159
Apidae,Bombus,vosnesenskii,6.124,16.302,5.065,0.15
Apidae,Bombus,vosnesenskii,5.988,16.700,5.301,0.141
Apidae,Ceratina,acantha,1.113,3.928,1.329,0.142
Apidae,Ceratina,acantha,1.148,3.992,1.364,0.138
Halictidae,Halictus,ligatus,1.446,5.839,1.804,0.139
Halictidae,Halictus,ligatus,1.784,6.924,2.085,0.154
Halictidae,Lasioglossum,sisymbrii,1.927,6.796,2.057,0.14
Halictidae,Lasioglossum,sisymbrii,1.670,6.370,1.985,0.14
Halictidae,Lasioglossum,tegulare,1.213,4.589,1.553,0.157
Halictidae,Lasioglossum,tegulare,1.260,4.604,1.537,0.157
Apidae,Xylocopa,tabanaformis (orpifex sp.),5.240,12.569,3.517,0.184
Apidae,Xylocopa,tabanaformis (orpifex sp.),4.272,11.889,3.256,0.175
Apidae,Bombus,melanopygus,3.810,9.991,3.051,0.158
Apidae,Bombus,melanopygus,3.973,9.905,3.033,0.143
Andrenidae,Perdita,chrysothamni,0.984,4.087,1.295,0.108
Andrenidae,Andrena,sp.,2.104,8.003,2.291,0.151
Andrenidae,Andrena,hebes,2.020,7.18,2.351,0.153
Andrenidae,Ancylandrena,larreae,2.583,5.563,1.881,0.142
Colletidae,Colletes,kincaidii,2.544,7.279,2.147,0.15
Colletidae,Colletes,deesensis,3.047,8.586,2.66,0.128
Andrenidae,Perdita,santaclarensis,1.178,3.872,1.26,0.114
Andrenidae,Perdita,sonorensis,1.067,3.402,1.097,0.116
Halictidae,Agapostemon,alayoi,2.566,7.709,2.307,0.141
Halictidae,Agapostemon,sericeus,2.124,7.229,2.002,0.147
Apidae,Diadasia,bituberculata,2.680,7.777,2.32,0.168
Apidae,Diadasia,bituberculata,3.282,8.686,2.702,0.147
Apidae,Eucera,actuosa,2.660,7.342,2.083,0.148
Apidae,Eucera,actuosa,2.906,7.372,2.193,0.15
Colletidae,Hylaeus,polifolii,0.962,3.425,1.15,0.151
Colletidae,Hylaeus,polifolii,1.020,3.494,1.176,0.132
Megachilidae,Megachile,sp.,3.541,9.166,2.708,0.173
Halictidae,Sphecodes,atlantis,0.748,2.986,0.982,0.134
Halictidae,Sphecodes,bakeri,1.186,5.56,1.729,0.139
Halictidae,Sphecodes,banksii,0.511,1.992,0.571,0.130
